title,qid,url
Book of Common Prayer (1662),Q111837194,https://en.wikipedia.org/wiki/Book_of_Common_Prayer_(1662)
Book of Documents,Q875313,https://en.wikipedia.org/wiki/Book_of_Documents
Book of Rites,Q862758,https://en.wikipedia.org/wiki/Book_of_Rites
Book of Taliesin,Q1515117,https://en.wikipedia.org/wiki/Book_of_Taliesin
Book of the Dead,Q174361,https://en.wikipedia.org/wiki/Book_of_the_Dead
Bookbinding,Q240471,https://en.wikipedia.org/wiki/Bookbinding
Born to Run,Q752366,https://en.wikipedia.org/wiki/Born_to_Run
Bouzouki,Q322675,https://en.wikipedia.org/wiki/Bouzouki
Boy band,Q216337,https://en.wikipedia.org/wiki/Boy_band
Boys' love,Q242488,https://en.wikipedia.org/wiki/Boys'_love
Brandenburg Gate,Q82425,https://en.wikipedia.org/wiki/Brandenburg_Gate
Brazilian National Anthem,Q134654,https://en.wikipedia.org/wiki/Brazilian_National_Anthem
Breakdancing,Q169737,https://en.wikipedia.org/wiki/Breakdancing
